Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks
AOY,AK PORTFÖY ALTERNATIVE ENERGY FOREIGN SHARE FUND,4.665186671505112,-5.378284236629064,-6.253883583316609,-11.894451232660103,-6.95832028766877,-3.0949534077097107,2.935928118570762,4.149408441130858,5.563150586133036,4.401102937262457,11.288904020200299,13.890679348930659,12.965096187075224,8.089787325503854,4.19810017638183,12.201875275313062,4.917138302538813,0.08777391073597683,-3.494528420721145,-0.8317532549614499,-7.173654791823446,-8.251859475136825,-8.400975163227754,-14.74906764263546
AFO,AK ASSET MANAGEMENT GOLD FUND,-2.6554194538287628,-2.6207301337382867,-2.4195901143861307,-0.9694756115181088,0.4343167918210153,2.59522278770509,2.5466568230928357,2.8832832566803814,5.903421583229493,7.051795786999469,8.650028065944586,7.785354284020168,6.087494893466946,8.637888429548065,13.72437016848095,18.842878420938934,16.755703127399872,15.604158602001892,17.071517975398123,16.504210485250763,14.940879237492002,12.904393099798003,14.987981232019992,15.062031461564713
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,0.5130035434655652,0.9894265894634179,1.8967951907772558,3.480865239173858,4.65005132205347,5.137740678859144,5.6641793118408525,5.9366722057938786,6.181338546605719,6.723174019934559,7.453305530565095,8.176981810873201,9.052824291738672,9.666780490475986,10.736285416910896,11.548058975821778,12.238717012590659,13.872446908946113,14.375835515417704,14.911022669236202,15.612536263932911,13.863793715384793,14.060812522511338,14.438385113826774
AFA,AK ASSET MANAGEMENT AMERICA FOREIGN EQUITY FUND,3.278528664270791,2.908276046347807,5.894740788881672,5.012982774326954,7.188626056081153,7.930499323803598,12.175634168299537,12.552388332318598,12.629190880148524,14.666615540423198,18.38852935080542,22.142028240348093,26.425224812987423,22.143789028055757,21.355371427343766,25.638795044349266,25.71709073463625,24.933585311847985,21.421747292694697,23.13488689788475,21.3183021150776,21.8749775247228,23.022846674878338,19.90277980876728
AFV,AK ASSET MANAGEMENT EUROPE FOREIGN EQUITY FUND,2.1812683111237114,0.49785094959771664,1.6452316486161318,1.422492720559537,4.495355031758991,4.551942350315441,7.952616591381996,8.458995080533203,8.951259230595596,11.340643588011403,14.430925286188447,16.138027636463637,19.56411152445957,18.09153901942452,15.225083127291327,21.025624952426153,20.17170244171364,18.5114545653842,17.974021666070165,19.675281262037487,17.28092403283753,16.5240445756903,17.187872586721937,13.532596596899321
ADP,AK ASSET MANAGEMENT BIST BANK INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),-1.7520007327433345,-3.670744336024661,8.506471645357937,11.041881996709984,2.5179163163545697,2.445401162487025,8.331992008862203,13.77907863246729,18.874187666557567,23.470694455435552,23.90771113433434,22.23015523985705,18.649422655146832,16.65899138272363,9.456259875349366,7.492848184213852,12.689285438748241,17.966007330539256,24.39357177932118,13.766257009903349,26.33897762343548,26.241632953291656,28.753003133949605,31.008831858812375
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,1.8205691203489125,3.572661529270854,10.007397298710572,12.76367653499455,8.5520375062819,8.610378724333442,7.925812617110403,7.668066720285741,7.375294103001405,9.944265299376664,8.389956100279063,11.71164435517034,11.510829627474916,9.474480356257905,4.440279233629347,1.4416695311526944,5.318434501529625,8.081428861098646,7.068007289921065,5.0011730880325125,10.380718041788828,14.879830584098613,12.138342665504458,16.93173712840248
AKU,AK ASSET MANAGEMENT BIST 30 INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),1.5057710723946192,2.24160798407584,7.521222259792496,9.120176276298654,3.773601109579566,3.4420177419182276,2.0216987504221495,2.8615086019766274,4.488117653925719,6.509269522409697,6.824470671440573,9.448070034011598,9.896001491539607,8.438611251332102,1.9259602914351395,-0.8067412455953524,1.8701063302877903,4.742174209836276,2.863916608673259,0.15873279013286906,4.9618991984607685,9.51304174445793,5.414701064968995,8.548688108194302
ARL,AK ASSET MANAGEMENT FIRST FUND OF FUNDS,0.6307890661729472,1.2185402816711166,3.391264841878888,4.400358136908214,4.5754912321084005,5.279285331754211,6.470019133631746,7.146100412961733,8.948293458589777,10.326805603468554,11.087971939365799,12.484427097631123,13.488546580367588,13.83174350595138,13.471013579302435,15.074177741149075,15.478618449852602,16.172696864289815,16.204177702597445,16.234403286928323,16.668255731714172,16.527187119585395,16.840055216781074,16.621477133711622
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,0.777455382430039,1.5724005778951233,2.352559067654483,3.1438239561267984,3.890886086204802,4.635358885815916,5.387491524667971,6.145093726031329,6.88200360446634,7.577682490766182,8.407470829158783,9.13902457795545,9.863693536038506,10.571520172015147,11.276249558612756,11.970202105118439,12.518360140188165,13.016995015695487,13.579810094199072,14.157069371856043,14.72963287636811,15.295505707717243,15.848669626522785,16.260982833046477
