Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,1.531,6.417,-3.398,-3.398,NaN,-6.573,-5.238,3.646,5.291,8.152,5.851,17.751,9.945,16.374,15.029,8.743,15.029,3.646,2.051,-2.927,0.0,-5.687,-2.927,-5.238,-11.556,-14.592,-18.776,-21.344,-18.107,-11.161,-12.335,-7.009,-7.009,-1.485,11.173,19.162,18.452,19.88,21.341,NaN,17.059,15.029,17.751,13.068,20.606,22.086,15.029,10.556,15.029,10.556,9.945,5.291,6.417,8.152,4.737,14.368,14.368,13.714,9.945,9.945,5.851,5.851,6.417,8.743,22.086,20.606,31.788,32.667,25.949,23.602,21.341,9.341
AFO,AK PORTFÖY ALTIN FONU,-0.466,-1.157,0.471,0.946,NaN,3.14,3.641,4.401,3.641,6.75,8.101,10.052,9.769,9.487,9.487,16.349,21.652,19.608,17.631,18.611,18.611,17.631,18.611,17.631,17.956,16.986,16.033,15.094,20.963,22.701,22.701,26.706,31.385,32.609,46.735,51.418,50.883,48.264,46.233,NaN,54.71,51.957,55.839,58.736,59.328,64.865,73.577,72.874,75.72,75.72,71.486,68.11,66.797,66.148,68.775,74.286,74.286,77.917,79.412,78.661,77.917,82.479,82.479,84.052,94.977,92.342,96.774,93.213,87.281,92.342,95.872,96.774
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,0.52,0.959,1.367,2.297,NaN,5.081,5.724,6.175,6.408,6.678,7.305,8.028,8.628,9.577,10.265,11.25,12.055,12.874,14.089,14.919,15.554,16.199,17.496,14.743,15.044,15.355,15.529,15.818,19.231,19.809,20.902,23.729,32.271,33.539,50.231,57.082,58.729,60.41,61.252,NaN,62.248,62.714,63.694,64.497,65.6,66.237,66.726,67.55,67.704,68.022,68.366,68.643,68.859,69.068,69.355,69.556,70.074,70.498,70.888,71.012,71.173,71.289,71.476,72.294,71.602,71.718,71.97,72.168,72.231,72.666,74.111,75.347
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,0.982,3.421,3.838,7.083,NaN,7.757,9.595,13.216,13.717,13.969,15.506,20.375,21.513,28.5,25.061,22.967,27.228,25.366,26.601,22.673,23.855,22.381,28.18,26.29,22.967,20.941,19.535,20.657,24.155,28.822,28.822,34.908,41.989,47.278,66.343,77.241,81.625,87.591,88.278,NaN,88.971,87.591,90.37,89.668,97.692,100.781,105.6,96.183,100.781,95.437,95.437,91.791,96.935,103.968,103.968,112.397,115.966,116.878,115.063,109.796,102.362,104.781,107.258,104.781,119.658,110.656,118.723,130.493,124.454,129.464,125.439,115.063
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,1.465,4.135,3.358,4.528,NaN,6.13,6.95,10.359,10.359,11.245,13.525,17.872,18.884,22.566,22.026,19.397,23.111,20.961,21.491,19.913,22.566,20.435,24.215,22.026,17.373,19.397,15.9,15.9,18.884,27.064,22.566,27.65,32.536,38.5,54.749,61.047,60.116,61.988,61.047,NaN,61.988,61.988,66.867,69.939,78.71,84.667,79.87,76.433,79.87,75.316,76.433,74.214,75.316,76.433,76.433,84.667,91.034,91.034,91.034,87.162,87.162,89.726,93.706,99.281,113.077,111.45,125.203,128.926,127.049,130.833,132.773,121.6
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.144,-0.43,-4.144,8.777,NaN,4.834,2.209,11.218,11.576,19.039,24.373,26.182,22.615,19.039,23.05,14.521,10.159,10.686,18.027,26.182,14.901,25.725,28.281,36.078,31.439,43.093,48.291,64.846,59.908,77.494,79.328,82.152,86.559,88.587,100.578,136.86,133.67,85.561,132.107,NaN,105.935,105.935,114.861,112.883,109.668,105.935,96.601,130.565,147.857,143.509,170.039,144.366,139.31,114.198,140.972,112.883,100.578,97.721,103.519,129.043,129.801,131.333,142.657,161.887,167.954,170.039,156.089,190.377,200.433,230.476,225.822,187.967
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,2.869,7.162,7.393,14.302,NaN,15.765,11.735,13.39,12.302,11.641,14.106,14.664,16.272,16.204,17.856,11.61,6.218,9.371,12.812,14.335,9.975,14.007,17.891,20.606,19.555,26.109,31.094,38.821,43.89,44.622,45.574,46.647,48.397,49.287,51.966,53.727,54.563,54.804,55.712,NaN,57.126,57.624,58.503,59.264,59.904,60.743,61.526,62.316,63.182,63.853,64.531,64.803,65.489,66.041,66.876,67.438,68.359,69.074,69.795,70.377,70.962,71.774,72.668,73.269,74.256,74.945,75.717,76.653,76.732,78.475,78.957,78.957
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),3.043,6.947,6.276,12.141,NaN,12.141,6.723,8.779,6.947,8.779,10.917,13.393,14.157,14.932,17.593,8.779,4.742,5.176,9.957,10.917,5.394,8.547,12.141,14.414,10.675,15.193,18.97,26.683,29.592,34.037,42.697,46.398,48.974,45.143,60.759,78.873,82.079,69.333,85.401,NaN,66.557,63.871,69.9,73.973,67.657,66.013,57.764,63.871,68.771,66.013,86.765,68.771,62.3,54.878,71.044,58.75,56.79,59.748,68.212,74.57,76.389,78.246,93.156,96.139,106.504,121.834,118.026,135.185,137.383,165.969,157.868,150.246
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,1.061,2.39,2.686,5.086,NaN,6.863,6.542,8.332,8.793,10.641,11.843,13.574,13.898,15.255,16.221,15.841,17.202,17.009,17.764,18.42,18.2,18.684,20.339,19.64,19.06,19.775,19.932,21.531,24.396,27.222,28.244,31.034,35.743,37.616,50.353,58.609,60.685,56.778,60.523,NaN,59.84,59.321,61.334,62.36,62.567,63.692,64.833,65.947,67.779,68.088,69.517,66.597,66.163,65.303,67.779,66.771,66.597,67.427,68.31,69.247,69.292,71.798,74.093,76.402,79.578,80.85,82.766,84.189,83.871,86.34,86.612,86.285
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,0.785,1.583,2.351,3.174,NaN,4.725,5.495,6.231,7.024,7.781,8.5,9.327,10.068,10.768,11.528,12.247,12.923,13.607,14.085,14.622,15.217,15.764,16.372,16.93,17.381,17.778,18.292,18.811,19.334,19.921,20.753,21.535,22.39,23.194,23.945,24.706,25.541,26.19,26.781,NaN,28.046,28.654,29.2,29.819,30.444,31.005,31.57,32.141,32.644,33.151,33.736,34.251,34.771,35.369,35.897,36.43,36.966,37.507,38.052,38.523,39.076,39.554,40.115,40.6,41.088,41.662,42.157,42.74,43.243,43.835,44.346,44.86
