Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks,73 Weeks,74 Weeks
ZJI,ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON,5.618,11.934,13.627,19.575,13.786,10.345,18.609,24.403,31.873,32.906,37.885,40.782,49.531,50.930,55.975,56.385,54.719,58.433,56.855,46.925,59.575,72.238,84.080,78.302,82.512,92.742,100.954,104.124,115.575,111.287,134.494,176.705,227.551,238.673,221.427,220.953,214.162,189.712,195.879,168.131,176.646,176.998,164.708,173.748,177.351,176.588,164.333,188.879,192.108,194.147,189.263,205.780,201.755,None,233.061,246.394,244.114,217.830,194.478,200.023,180.266,189.199,182.508,201.755,211.169,204.356,219.228,278.177,283.730,342.316,353.838,332.220,309.336,312.567
ZJB,ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON,5.504,12.021,13.450,19.285,13.340,8.850,16.189,21.989,29.294,30.307,35.420,38.526,47.938,49.196,54.656,55.012,52.993,56.796,55.068,44.792,57.452,70.085,81.953,76.170,80.363,90.337,98.327,101.447,112.762,108.568,131.537,173.181,223.415,234.395,217.402,216.852,210.174,186.059,192.129,164.710,173.123,173.531,161.359,170.241,173.824,173.123,160.987,185.231,188.378,190.406,185.549,201.910,197.975,None,228.898,241.987,239.719,213.824,190.736,196.183,176.783,185.612,179.076,197.906,207.124,200.563,215.059,272.426,277.811,333.887,345.047,324.114,301.883,305.062
BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-0.510,1.768,6.008,7.666,8.532,7.832,8.902,10.409,11.248,11.638,11.425,11.815,12.821,13.588,11.815,12.532,17.700,16.916,22.505,29.414,32.092,31.844,31.646,32.291,34.213,35.142,35.875,41.402,42.146,33.447,30.715,34.418,34.315,38.994,37.417,41.916,43.599,43.365,45.383,46.658,50.687,55.423,56.392,60.907,63.683,70.603,71.855,72.531,76.521,74.764,71.603,74.764,75.550,None,90.608,94.515,98.138,97.580,101.550,112.273,133.755,150.428,164.383,170.285,182.008,198.554,207.443,220.932,226.909,226.909,218.025,215.171,209.885,207.982
IIE,İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON,-4.490,-2.456,0.637,6.023,10.818,6.191,20.436,27.644,28.417,42.137,49.352,58.576,49.379,61.953,55.158,64.463,65.714,66.330,62.148,60.374,66.950,89.071,88.761,95.490,76.953,83.812,86.146,83.519,80.600,75.988,56.940,45.366,53.679,61.047,68.133,77.891,100.547,99.209,106.665,125.007,123.015,136.422,140.298,144.525,147.909,155.531,158.067,158.480,160.737,163.120,165.897,168.465,170.810,None,176.096,180.320,183.773,188.754,182.184,182.877,182.481,182.679,177.904,184.776,197.931,208.652,213.087,215.662,224.035,217.027,215.291,207.475,207.945,211.394
RTP,RE-PIE PORTFÖY BİRİNCİ SERBEST FON,-0.011,1.320,4.044,4.612,4.661,4.923,8.443,9.806,9.943,10.771,11.880,12.680,12.911,14.896,15.316,17.716,25.004,27.607,27.514,44.703,44.089,53.168,54.158,50.043,52.033,62.654,64.351,64.351,65.336,64.873,65.616,67.693,67.502,69.692,69.823,70.743,71.074,68.204,69.627,69.790,71.041,73.975,75.114,74.491,77.402,78.551,76.834,74.491,84.718,85.495,86.830,90.336,93.679,None,105.400,109.248,109.945,115.062,113.915,111.353,113.089,114.123,112.371,117.501,126.663,130.271,134.245,138.615,142.284,141.423,144.162,141.357,140.436,136.568
IVY,İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON,7.082,8.853,7.191,1.282,1.477,7.155,2.932,0.541,-7.656,-6.949,-7.575,-8.006,-10.176,-7.086,-5.531,-3.216,-6.315,-8.406,-10.633,-12.393,-6.370,-8.459,-5.077,3.234,7.776,8.703,10.994,14.244,15.963,13.221,16.821,20.934,22.862,17.954,16.994,22.671,28.717,19.290,20.244,13.547,18.619,22.528,21.538,20.657,23.438,25.248,27.832,29.721,32.107,37.571,40.071,36.974,39.947,None,28.508,24.852,25.596,30.525,29.934,30.309,40.632,36.797,62.301,67.728,72.678,70.259,58.635,66.843,56.049,67.817,76.339,85.012,94.103,105.062
NVC,NEO PORTFÖY VENTO SERBEST FON,2.022,4.948,2.164,1.245,-0.239,-0.746,-1.248,-1.811,-3.336,-1.580,-0.847,-0.611,-0.746,0.308,0.688,1.245,1.386,3.063,2.093,2.307,3.794,6.398,6.475,5.859,9.790,7.848,8.649,4.461,3.172,5.402,10.120,14.381,9.543,7.928,8.488,9.790,13.538,10.536,10.411,11.335,12.275,12.881,13.935,14.920,15.829,16.382,17.456,50.876,62.431,63.520,64.809,66.024,67.257,None,68.509,69.878,71.170,72.278,71.974,73.093,74.330,75.480,73.195,74.330,85.606,89.450,90.808,91.307,96.048,94.098,81.801,75.901,77.072,78.150
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,4.403,6.330,1.914,-2.622,-4.517,-5.540,-7.095,-5.855,-10.327,-8.880,-9.725,-9.797,-11.550,-6.834,-5.556,-3.916,-5.413,-3.554,-5.996,-6.308,-3.817,-3.899,0.606,5.614,8.372,8.518,8.434,10.062,12.835,10.754,13.744,18.026,17.878,17.388,17.927,21.220,25.450,19.349,21.769,17.193,18.547,20.495,20.444,20.908,22.616,22.802,23.528,22.936,26.095,29.747,32.675,33.176,32.085,None,28.127,28.858,30.921,35.315,38.810,43.467,48.958,51.111,58.184,61.719,63.642,66.884,65.513,71.030,69.134,72.758,74.521,80.492,82.300,85.049
DDA,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),2.162,2.353,-4.154,-6.389,-12.710,-32.684,-30.244,-24.118,-22.578,-21.213,-21.338,-25.811,-28.117,-24.674,-26.578,-25.900,-25.655,-21.731,-24.949,-25.085,-22.795,-18.218,-16.142,-5.093,-8.649,-9.186,-14.293,-15.184,-11.672,-24.397,-20.611,-16.482,-22.040,-18.743,-20.348,-17.960,-17.106,-25.199,-24.720,-28.461,-27.606,-27.190,-26.806,-26.117,-23.802,-22.626,-14.921,-14.921,-14.921,-14.921,-14.921,4.497,4.497,None,4.497,17.543,17.543,17.543,17.543,17.543,22.092,22.092,22.092,22.092,31.610,31.610,31.610,31.610,38.358,38.358,38.358,38.358,38.358,48.422
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,2.072,2.302,4.203,4.937,3.790,-4.160,-1.332,3.731,3.821,3.520,3.351,0.178,-0.358,1.196,-0.891,-0.103,1.028,2.957,2.723,3.543,6.639,12.352,12.183,18.802,20.693,22.229,20.722,21.819,21.114,12.581,13.477,18.000,16.317,18.845,19.770,21.060,22.154,24.166,25.111,27.767,30.037,31.434,33.842,35.495,37.805,38.222,33.701,32.799,37.247,38.788,40.015,44.605,49.221,None,58.617,60.296,58.947,57.613,57.836,57.855,53.411,54.366,59.301,62.749,70.797,72.918,76.403,79.894,81.835,80.939,83.433,77.633,74.961,75.597
