Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks,73 Weeks,74 Weeks
SUA,ÜNLÜ PORTFÖY BİRİNCİ DEĞİŞKEN FON,0.000,1.822,1.822,2.288,1.822,3.472,5.674,7.194,9.024,10.099,11.194,12.312,13.165,14.031,14.910,16.104,15.803,17.942,19.200,20.485,22.131,22.466,23.823,25.562,26.989,28.448,29.942,30.702,31.858,33.036,34.234,35.455,36.280,36.697,36.697,36.280,37.963,39.252,40.125,41.009,42.357,43.269,44.660,46.078,47.039,48.505,49.498,51.014,52.041,53.082,54.671,56.842,57.394,59.075,60.215,61.372,61.957,63.139,64.338,63.736,64.945,66.791,66.791,68.679,69.962,70.611,71.923,71.923,73.256,74.609,75.294,76.680,79.518,80.242
IDO,İŞ PORTFÖY ONDOKUZUNCU SERBEST (DÖVİZ-AVRO) FON,-0.449,0.741,0.259,0.461,0.281,0.982,0.139,0.574,0.279,1.579,2.253,2.563,2.939,3.047,3.515,5.775,3.347,5.387,4.764,4.996,5.735,8.579,8.556,10.704,11.913,12.310,13.867,13.295,13.058,13.479,14.130,18.124,18.380,20.927,20.047,24.609,26.033,29.984,31.003,31.976,33.432,33.390,34.008,36.270,36.596,36.174,35.744,36.507,35.891,36.211,36.511,37.218,37.827,35.518,34.230,35.070,34.643,33.592,32.546,31.352,31.720,33.819,32.858,32.174,32.602,35.317,36.849,40.233,39.991,38.728,40.692,42.862,42.797,43.633
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,0.783,1.544,2.352,3.137,3.934,4.743,5.641,6.439,7.288,8.190,9.108,10.082,11.074,12.041,12.939,13.983,14.734,15.812,16.818,17.888,18.979,19.992,21.072,22.323,23.138,24.432,25.594,26.724,27.929,29.101,30.467,31.453,32.512,34.073,34.684,35.672,36.738,37.820,38.985,40.104,41.241,42.260,43.711,44.978,46.340,47.655,49.068,50.432,51.821,53.316,54.759,56.148,57.645,59.172,60.641,62.137,63.752,65.307,66.892,68.412,70.155,71.735,73.345,75.296,76.762,78.360,80.097,81.868,83.561,85.285,87.042,87.992,89.801,91.521
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.230,-1.434,-0.362,1.103,4.563,1.476,-0.362,-1.079,1.103,7.422,4.167,0.365,1.103,4.167,2.230,2.996,4.563,7.843,8.268,9.562,19.565,22.222,18.026,18.026,21.681,18.026,17.021,20.087,23.874,20.087,21.681,22.222,21.681,20.614,19.048,10.000,13.169,21.145,20.614,20.087,20.614,17.021,16.525,21.145,20.614,20.614,22.222,25.000,22.222,23.318,26.728,30.332,29.717,37.500,40.306,39.594,38.191,39.594,41.026,29.108,28.505,34.146,28.505,31.579,29.717,28.505,28.505,19.565,19.048,16.034,17.021,19.565,21.681,23.318
PKF,ATA PORTFÖY ALTIN KATILIM FONU,-2.588,3.403,2.550,-2.217,-1.913,0.960,8.118,11.649,14.934,17.536,21.721,26.997,29.646,29.564,28.791,31.306,30.016,31.940,32.622,32.837,34.448,33.009,33.616,34.713,37.237,36.460,42.827,35.246,38.722,35.828,37.651,47.236,47.131,51.870,52.095,61.815,63.949,65.470,61.942,65.203,70.066,77.116,78.581,81.988,84.858,85.108,85.276,88.684,82.962,87.993,83.535,83.781,93.673,86.032,78.659,83.864,82.636,87.220,88.165,88.165,95.055,100.489,99.903,101.276,100.980,107.591,115.554,112.429,119.007,110.683,121.970,125.137,126.630,126.630
BDY,AK PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.141,-2.743,0.071,2.903,4.572,2.679,1.213,0.283,2.828,7.424,2.383,0.925,3.052,5.271,3.883,4.112,7.587,10.093,14.079,14.725,22.136,25.709,20.068,21.300,21.926,17.872,18.463,20.476,25.154,23.843,23.843,24.714,24.934,29.853,31.296,21.717,26.607,32.030,28.792,29.853,29.853,26.720,23.627,24.934,23.627,24.934,28.094,29.498,28.326,28.909,33.522,36.215,39.704,47.095,47.401,51.820,53.132,52.473,53.297,43.232,40.119,46.943,39.704,43.232,37.804,36.084,34.408,28.558,31.175,31.296,33.648,38.341,36.873,36.873
GUB,GARANTİ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0.729,1.469,2.220,2.982,3.755,4.484,5.280,6.089,6.851,7.624,8.469,9.266,10.137,10.958,11.857,12.704,13.564,14.506,15.463,16.436,17.426,18.360,19.383,20.498,21.406,22.405,23.421,24.453,25.503,26.571,27.741,28.762,29.799,30.853,31.924,32.921,34.026,35.056,36.197,37.260,38.340,39.438,40.552,41.685,42.836,44.006,45.195,46.737,48.086,49.344,50.623,52.044,53.370,54.844,56.220,57.749,59.177,60.631,62.112,63.621,65.158,66.581,67.736,69.649,70.999,72.679,74.234,75.978,77.594,79.406,81.086,82.971,84.542,86.320
TAR,AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,-1.925,0.404,-1.193,-2.263,-0.799,-0.799,-1.536,-1.390,-2.311,-1.682,-3.684,-6.008,-6.362,-3.963,-5.471,-4.241,-6.406,-4.056,-5.874,-6.185,-1.193,-0.050,-1.973,-2.263,-1.144,-0.700,-1.193,1.378,3.544,3.977,6.143,8.698,6.200,3.868,3.544,5.077,7.463,9.477,8.698,10.512,10.944,6.314,8.107,11.130,15.055,13.349,11.192,11.692,6.542,6.656,7.696,13.349,14.130,11.441,11.130,10.450,10.635,10.758,9.176,5.748,4.414,8.996,6.542,6.771,7.116,7.116,7.696,3.274,3.706,1.120,5.411,7.058,7.872,8.936
OJK,QNB PORTFÖY ALTIN FONU,-2.880,3.377,2.850,-1.859,-1.953,1.848,8.167,11.752,15.017,17.445,21.031,25.886,28.814,28.711,27.809,30.571,29.330,31.376,32.423,32.625,33.424,32.221,33.314,34.073,36.470,35.749,42.136,35.391,38.223,36.223,37.634,46.657,47.250,52.312,50.808,58.621,61.547,65.040,61.941,65.282,69.243,74.903,77.263,80.463,83.811,83.781,83.631,87.564,80.032,85.075,82.918,83.007,89.579,83.601,80.089,82.445,84.110,89.483,90.249,90.989,95.551,103.183,104.397,105.512,105.549,112.629,121.901,118.089,125.805,118.173,128.916,127.075,127.900,132.162
FKE,QNB PORTFÖY KRİSTAL SERBEST (DÖVİZ-AVRO) FON,-0.452,0.732,0.246,0.448,0.266,0.966,0.119,0.554,0.256,1.551,2.221,2.525,2.897,3.000,3.459,5.712,3.270,5.302,4.668,4.891,5.620,8.457,8.418,10.553,11.759,12.142,13.698,13.119,12.875,13.311,13.937,17.944,18.196,20.749,19.847,24.357,25.811,29.788,30.817,31.804,33.276,33.238,33.860,36.133,36.462,36.060,35.640,36.411,35.816,36.143,36.440,37.148,37.773,35.461,34.179,35.012,34.597,33.543,32.495,31.299,31.649,33.745,32.769,32.062,32.475,35.175,36.695,40.082,39.842,38.585,40.562,42.755,42.704,43.554
TPV,AURA PORTFÖY İKİNCİ DEĞİŞKEN FON,0.901,-1.340,-1.069,0.619,0.820,0.229,0.109,-0.484,-0.375,2.116,0.548,0.020,0.810,2.241,3.129,4.801,5.902,7.357,8.244,10.764,14.085,14.944,13.674,15.563,18.482,18.496,19.126,20.363,22.423,21.846,21.479,22.023,22.632,22.781,23.367,22.498,25.019,27.710,28.100,27.243,28.083,27.115,26.987,29.531,29.150,30.150,31.148,32.319,31.645,33.333,35.519,38.194,39.842,46.485,46.804,47.535,45.240,45.156,48.185,40.153,40.661,45.976,43.056,46.208,44.305,46.421,46.783,43.320,43.688,44.346,45.533,45.744,44.366,45.135
NCS,NUROL PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,0.365,0.770,1.208,1.294,1.704,2.118,2.490,2.922,3.387,3.565,3.966,4.356,4.745,5.236,5.677,5.967,6.379,6.990,7.693,8.604,8.647,9.352,10.193,10.759,10.954,11.702,12.281,12.631,13.290,13.822,14.450,15.174,15.309,15.230,15.414,19.905,20.582,20.753,21.286,22.109,22.967,23.491,24.077,24.897,25.422,25.714,26.046,26.914,27.755,28.432,28.978,29.586,30.314,30.942,31.103,31.222,31.700,31.721,32.043,32.277,32.931,33.422,33.581,33.596,34.212,35.499,36.208,37.920,38.506,38.491,39.500,41.170,39.909,41.235
