Category,Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks,73 Weeks,74 Weeks
Non-filtered Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.453,6.972,9.198,15.632,18.331,14.206,14.94,14.462,16.238,18.104,21.037,19.654,23.607,23.454,20.781,13.396,10.136,15.089,18.583,17.445,15.41,22.671,27.24,23.83,29.501,36.698,44.892,51.281,60.247,68.512,,88.397,89.065,93.022,115.289,137.248,,114.25,135.616,123.412,,114.864,122.955,125.555,122.335,118.366,112.824,126.193,136.382,140.363,163.152,154.44,132.014,125.81,141.72,131.745,118.546,126.964,138.167,155.525,145.783,154.278,177.237,176.152,196.135,201.686,201.876,228.552,227.923,267.525,253.911,248.308,239.434,272.839
,HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.854,9.891,12.552,16.089,18.671,20.089,21.268,19.359,19.856,17.001,18.704,15.561,19.657,20.056,17.637,14.188,8.185,12.64,15.1,15.223,12.406,17.926,23.45,21.781,29.751,35.147,40.416,45.915,55.077,59.601,,79.187,77.787,81.14,93.551,115.992,,100.371,114.279,103.102,,98.075,105.712,109.197,107.788,105.712,100.464,112.906,123.938,130.384,147.679,140.512,119.28,117.514,138.917,127.713,112.175,116.533,124.987,142.129,139.845,160.205,191.436,195.42,208.714,225.207,231.442,254.553,259.567,297.974,288.32,298.341,303.925,322.483
,EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),4.061,5.902,6.18,14.367,16.347,10.663,10.88,11.084,11.853,13.592,16.404,16.687,18.723,17.666,18.101,16.463,14.387,18.089,22.145,26.007,22.499,28.484,33.734,29.751,37.036,45.466,55.169,66.687,73.245,82.469,,97.381,95.27,99.462,119.904,151.683,,129.551,153.513,139.712,,137.799,148.271,151.947,146.907,142.851,135.299,150.542,160.791,164.631,189.242,177.624,150.805,143.746,162.853,151.002,136.246,140.978,149.737,165.842,159.262,168.951,193.628,188.632,209.177,216.494,215.816,244.23,244.23,282.056,267.246,258.299,253.824,292.942
,GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,1.271,2.894,1.805,5.742,5.562,7.03,7.717,7.875,10.824,13.032,15.428,19.782,22.118,22.571,22.089,20.821,18.185,23.712,25.34,31.379,24.177,27.621,33.086,32.048,34.591,35.437,38.243,39.81,46.996,48.52,,68.571,68.059,67.413,98.296,116.974,,79.995,113.246,105.85,,102.152,105.747,107.92,105.293,101.734,99.922,115.015,126.301,131.966,155.05,143.38,123.705,117.089,123.413,113.646,110.182,117.296,123.926,141.914,142.487,161.399,184.891,196.396,225.306,221.627,209.055,265.809,260.719,310.134,286.961,259.831,304.224,339.82
,GLG,GLOBAL MD PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),5.06,8.172,8.863,12.983,15.471,12.394,12.024,11.383,10.9,13.14,15.635,13.928,17.024,19.346,17.563,11.566,12.332,17.63,17.867,15.504,12.548,22.382,28.859,24.203,28.576,32.234,41.817,45.811,50.037,59.392,,81.778,79.543,80.654,97.776,114.811,,84.65,107.509,101.28,,93.564,100.983,104.398,95.227,89.44,80.097,85.488,97.776,112.689,130.293,122.283,97.68,92.834,111.698,105.321,93.016,100.687,112.689,124.11,115.831,135.328,169.433,168.021,185.615,201.845,205.68,214.132,223.32,267.475,247.789,251.375,259.719,262.589
,HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.804,9.71,13.46,18.042,23.292,21.072,22.757,17.681,17.244,17.168,18.693,16.989,20.018,22.45,17.398,12.182,7.711,11.438,15.482,15.358,12.205,18.224,25.303,22.227,28.139,31.975,39.002,43.951,57.16,65.988,,89.566,87.976,90.304,104.642,126.537,,120.953,130.815,123.339,,110.242,118.174,121.408,113.837,110.242,115.034,123.246,135.67,143.238,160.058,154.399,129.927,127.303,148.177,140.95,120.591,118.529,123.71,131.312,133.724,152.37,178.797,179.522,195.332,213.403,222.809,254.049,263.624,315.932,307.424,308.042,315.29,325.475
,GAF,INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),6.675,8.827,12.224,20.363,22.76,17.896,19.529,18.544,19.034,20.868,24.173,23.462,25.985,25.985,23.639,17.096,12.958,16.779,19.034,20.028,18.381,23.639,30.363,32.362,39.644,46.52,55.495,60.409,67.248,75.051,,96.583,97.032,97.483,121.851,146.571,,121.282,143.099,126.509,,109.466,115.75,119.036,114.144,109.976,101.636,113.086,121.851,125.326,149.422,140.39,116.834,111.52,128.307,119.593,108.959,113.086,122.423,137.088,130.749,142.416,166.358,167.183,188.629,195.548,195.548,224.436,222.015,256.612,237.109,231.923,229.389,256.612
,GMR,INVEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),6.659,9.423,12.88,19.103,23.21,18.193,17.446,14.691,12.743,10.071,13.155,10.333,13.57,13.293,9.294,4.031,-0.108,3.683,6.782,9.166,8.655,14.833,23.046,25.541,37.426,40.758,52.295,58.532,69.835,78.998,,107.366,105.531,106.444,119.622,146.419,,130.521,147.074,128.256,,112.586,119.104,120.665,114.55,108.764,100.216,109.707,119.622,131.671,145.119,135.787,109.234,101.082,116.55,103.282,90.76,94.759,103.282,117.056,115.545,136.387,166.189,170.058,178.144,188.509,197.756,219.244,229.433,257.308,241.544,247.94,254.58,276.113
,IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,1.538,4.762,4.762,5.6,6.452,6.452,5.6,3.125,4.762,7.027,10.0,11.864,14.783,15.116,14.451,12.821,11.864,16.814,21.472,25.316,22.222,30.693,33.333,32.886,34.694,34.237,37.979,51.724,57.769,62.295,,80.0,77.578,77.578,108.421,128.902,,98.995,126.286,122.472,,125.0,130.233,132.941,130.233,128.902,126.286,141.463,152.229,158.824,176.923,169.388,145.963,138.554,152.229,135.714,131.579,141.463,150.633,169.388,165.772,178.873,200.0,200.0,221.951,227.273,224.59,263.303,256.757,292.079,273.585,270.093,288.235,325.806
