Category,Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks,73 Weeks,74 Weeks
Non-filtered Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),3.053,6.125,10.745,10.914,17.664,,19.711,16.083,18.148,18.762,20.476,23.271,25.037,26.795,26.251,28.677,19.22,12.911,16.51,21.74,23.629,18.29,24.332,27.997,32.557,28.657,36.822,43.891,54.877,62.797,72.383,85.467,89.9,93.803,95.474,115.566,138.107,140.051,122.858,146.468,,123.059,122.396,130.876,135.969,131.092,128.886,119.044,135.116,145.953,147.134,171.167,148.676,142.882,128.95,150.771,130.252,124.784,131.851,142.906,158.215,160.008,160.282,180.591,187.413,196.947,216.055,209.405,232.741,237.375,276.043,266.069,256.611,240.631
,HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),3.717,8.317,14.238,15.918,19.399,,26.031,23.332,22.659,23.468,21.236,22.425,21.432,23.4,23.502,27.064,19.909,12.409,15.383,19.209,22.559,16.883,20.456,25.223,30.232,29.706,36.069,42.998,51.33,59.044,63.322,75.439,83.014,84.593,84.593,99.423,117.263,116.53,113.546,124.65,,103.949,106.67,113.242,119.278,115.906,113.14,107.817,120.786,129.821,141.429,157.626,136.474,131.24,124.426,145.385,128.187,117.684,123.199,133.524,144.052,148.644,165.23,196.96,201.139,216.631,239.864,240.379,261.464,271.016,306.606,299.733,310.32,317.953
,EC2,GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),4.932,7.799,12.14,10.939,19.492,,19.676,15.104,18.184,16.983,18.834,21.67,24.091,25.055,23.631,28.262,24.552,20.582,23.445,26.571,32.551,29.143,34.654,39.323,42.607,40.951,49.365,55.72,75.608,81.486,92.019,102.713,106.409,104.917,106.374,128.732,158.007,157.176,143.55,170.232,,144.837,151.765,162.074,169.824,162.539,159.741,148.599,167.363,177.36,180.436,205.267,176.073,167.61,153.3,177.83,155.853,147.969,152.614,162.176,174.772,177.792,182.236,203.299,206.982,219.14,240.142,232.355,257.371,261.717,298.83,288.314,277.938,262.603
,GZN,GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON,3.958,5.881,7.812,6.893,10.584,,12.291,11.243,13.966,14.361,18.497,20.446,26.509,25.871,28.217,29.941,28.686,23.916,26.338,30.78,35.864,31.824,34.282,40.765,39.149,39.167,39.493,43.485,45.953,52.433,56.25,63.326,71.018,76.054,75.249,106.694,123.087,124.652,87.073,126.549,,109.029,111.96,116.101,122.026,116.931,113.819,109.029,128.942,138.059,141.596,167.36,142.333,136.043,125.953,137.164,116.953,116.909,123.622,130.392,151.978,154.187,167.727,190.17,211.255,227.299,248.11,225.808,270.528,281.529,319.652,309.717,285.712,304.695
,NNF,HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),7.618,11.362,19.258,23.005,25.572,,34.858,29.082,26.983,25.225,21.088,24.151,23.504,25.668,24.379,28.703,20.637,14.869,19.44,26.327,29.564,24.472,28.437,33.459,36.737,35.717,47.309,60.013,71.078,80.605,90.767,102.745,108.323,111.903,108.614,128.139,159.128,160.304,140.071,163.709,,137.321,132.621,139.416,144.919,136.156,130.074,118.131,135.895,148.055,153.707,171.483,143.083,137.321,123.96,148.675,126.717,111.964,116.328,124.095,130.216,135.114,144.317,168.165,171.088,180.889,199.138,193.315,219.17,227.149,265.458,250.517,246.85,238.584
,HKH,HEDEF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),6.901,11.853,17.598,20.457,24.448,,32.085,28.224,25.59,25.071,23.965,26.169,26.086,27.967,30.17,31.39,21.733,14.894,18.495,21.168,23.884,20.761,23.911,30.288,33.527,32.45,38.049,46.011,52.077,65.286,74.257,88.674,96.882,99.479,100.874,114.6,135.92,136.99,140.36,148.788,,132.202,127.154,131.734,140.964,127.875,122.925,130.156,138.465,151.84,160.517,177.901,157.367,149.436,141.065,162.78,146.652,132.296,133.049,138.267,139.06,146.019,166.065,192.171,196.849,209.811,237.265,240.866,270.058,284.672,334.063,331.456,330.81,339.373
,GMR,INVEO PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),5.054,9.775,15.758,17.569,22.893,,27.379,20.469,20.32,17.853,15.077,17.995,16.726,18.712,18.568,20.172,11.657,4.38,7.599,10.771,15.212,14.537,19.146,26.391,33.47,38.976,44.741,56.32,65.034,76.036,86.095,101.443,111.931,115.198,111.931,127.739,153.766,153.766,146.096,161.23,,127.739,125.115,129.882,135.422,125.635,119.058,111.015,124.083,129.882,144.862,157.784,135.99,124.083,109.657,127.209,106.554,98.577,103.119,111.931,122.551,126.157,142.432,173.669,179.143,189.053,204.361,208.202,230.068,241.608,271.483,256.569,261.852,268.679
,IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,4.511,5.838,10.317,9.737,10.904,,12.703,10.317,9.162,9.162,11.796,15.193,18.13,19.484,20.52,21.93,20.52,18.13,20.173,25.982,31.546,29.102,36.275,39.933,40.404,41.356,39.933,44.792,58.555,64.173,70.204,78.205,85.333,86.996,86.996,119.474,136.932,139.655,106.436,141.04,,130.387,136.932,142.442,149.701,142.442,142.442,138.286,157.407,165.605,170.779,191.608,170.779,160.625,148.214,167.308,143.86,142.442,152.727,160.625,179.866,181.757,189.583,208.889,218.321,230.952,250.42,239.024,272.321,279.091,312.871,293.396,289.72,297.143
,IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.879,7.31,12.135,13.541,19.61,,19.859,15.474,17.274,17.949,18.655,20.377,20.662,23.528,24.799,28.866,21.633,15.28,19.891,26.355,28.494,23.975,27.95,33.137,40.977,42.282,53.301,62.373,74.272,81.14,90.687,105.662,115.399,121.25,119.724,143.947,170.064,167.512,150.632,172.79,,157.843,156.73,165.165,172.706,163.831,159.494,150.351,165.56,177.027,181.887,197.399,170.884,164.614,151.836,176.941,157.026,146.034,151.729,161.894,171.709,175.614,188.826,223.508,228.151,234.49,255.633,252.192,288.308,294.405,336.17,317.193,306.357,301.057
