Fund Code,Fund Name,1 Week Return,2 Week Return,3 Week Return,4 Week Return,5 Week Return,6 Week Return,7 Week Return,8 Week Return,9 Week Return,10 Week Return,11 Week Return,12 Week Return,13 Week Return,14 Week Return,15 Week Return,16 Week Return,17 Week Return,18 Week Return,19 Week Return,20 Week Return,21 Week Return,22 Week Return,23 Week Return,24 Week Return,25 Week Return,26 Week Return
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,2.4884,7.1583,-2.3438,-2.4359,-9.3964,-5.761,-4.4026,4.3037,5.9402,9.3662,7.0355,19.0976,10.8317,17.3453,16.3456,9.659,16.2183,4.6714,3.0545,-1.9642,1.0902,-4.7541,-1.8923,-4.3698,-10.7717,-13.7908
AFO,AK PORTFÖY ALTIN FONU,0.7771,0.0867,1.6028,2.0141,1.2683,4.3584,4.9229,5.6019,4.7537,8.0861,9.4799,11.4576,11.1714,10.6667,10.7461,17.7805,22.9854,21.1541,19.074,20.093,20.031,18.8748,20.0323,18.9065,19.2769,18.3673
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,0.2699,0.7101,1.1162,2.043,3.3344,4.8221,5.4608,5.9116,6.1461,6.4128,7.0393,7.7621,8.3605,9.3067,9.9911,10.9758,11.7755,12.5966,13.8058,14.6329,15.2663,15.9119,17.2033,14.4584,14.7612,15.071
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,-0.265,2.0962,2.4934,5.7462,4.7664,6.2559,8.2516,11.6901,12.3155,12.4439,14.0991,18.8254,20.0245,26.7772,23.3962,21.2722,25.6841,23.6787,24.8182,21.2075,22.1282,20.7824,26.4517,24.7411,21.3456,19.424
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,0.5259,3.0587,2.1223,3.6361,3.1102,5.1603,5.9795,9.059,9.337,10.1949,12.2181,16.5284,17.5406,21.3929,20.5876,18.2602,21.6892,19.5907,20.453,18.4395,21.3988,19.4136,22.7293,20.5871,16.1546,18.1374
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.2432,0.711,-3.028,10.0324,11.0087,5.9586,3.3832,12.4568,12.8479,20.3424,25.801,27.5003,24.1037,20.3106,24.4607,15.7321,11.3243,11.9618,19.3927,27.7038,16.2868,27.2602,29.6847,37.6678,32.9805,44.7482
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,2.8532,7.1392,7.3757,14.3008,16.4784,15.761,11.7106,13.363,12.2968,11.6353,14.0951,14.6625,16.2444,16.206,17.854,11.5892,6.194,9.3531,12.8107,14.3273,9.9589,13.9985,17.8947,20.5806,19.5506,26.0983
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.8278,6.8645,6.2578,11.9277,14.5066,12.0041,6.5173,8.5468,6.7364,8.7418,10.8107,13.2416,14.1344,14.7736,17.3571,8.6901,4.5538,5.0854,9.7883,10.6823,5.2473,8.4228,11.9803,14.3518,10.4493,15.0453
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,0.8822,2.1975,2.5075,4.892,5.4369,6.6778,6.3442,8.1374,8.5971,10.4397,11.648,13.3713,13.6995,15.056,16.0168,15.6372,16.9928,16.8042,17.559,18.2076,17.9956,18.4612,20.1273,19.4353,18.8509,19.5622
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,0.4435,1.2282,2.017,2.8154,3.4908,4.3797,5.1294,5.8833,6.6459,7.4124,8.117,8.9356,9.6744,10.4064,11.128,11.8357,12.5457,13.2135,13.6706,14.2168,14.7963,15.376,15.9516,16.514,16.9874,17.386
