Fund,Full Fund Name,2 Weeks,4 Weeks,15 Weeks,26 Weeks,37 Weeks,52 Weeks,72 Weeks,Appearances
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,3.938,-3.901,26.976,33.153,60.652,81.127,136.859,7
OJK,QNB PORTFÖY ALTIN FONU,3.377,-1.859,27.809,35.749,61.547,83.007,127.075,7
PRY,PUSULA PORTFÖY PARA PİYASASI (TL) FONU,1.826,3.671,14.293,26.617,39.525,59.016,91.174,7
GO6,ONE PORTFÖY PARA PİYASASI (TL) FONU,1.601,3.358,13.716,25.718,37.688,57.737,90.502,7
PPN,NUROL PORTFÖY PARA PİYASASI (TL) FONU,1.507,3.085,12.68,24.351,36.869,56.386,88.869,7
DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,1.474,2.993,12.124,23.542,36.084,55.474,87.677,7
HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,1.116,2.775,12.733,24.602,36.938,56.403,88.197,7
TMM,TERA PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,0.565,0.94,4.743,10.655,19.082,69.454,93.385,7
IIE,İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON,-2.852,-26.058,-12.283,7.771,21.616,90.924,138.739,7
GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,-5.495,-2.942,12.387,37.522,52.033,57.262,97.182,7
IVY,İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON,-10.303,-9.871,7.57,26.386,52.28,35.429,81.272,7
PBN,PİRAMİT PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),-3.485,2.057,-28.725,15.295,,,,4
