Fund,Full Fund Name,2 Weeks,4 Weeks,12 Weeks,24 Weeks,36 Weeks,Appearances
DFI,ATLAS PORTFÖY SERBEST FON,24.227,72.884,486.375,513.232,569.444,5
TLY,TERA PORTFÖY BİRİNCİ SERBEST FON,5.626,12.108,126.184,454.548,815.652,5
THV,ATA PORTFÖY BARBAROS HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),12.202,2.297,536.838,531.814,433.491,4
FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,6.667,5.347,32.813,56.636,73.634,4
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,6.245,4.549,33.089,56.547,72.413,4
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,6.206,4.747,33.373,58.998,74.826,4
KGM,KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU,5.93,4.5,31.944,54.7,71.452,4
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,5.92,4.414,32.746,55.739,71.429,4
YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.918,4.38,33.475,57.188,70.358,4
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.743,4.198,30.816,54.992,72.936,4
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.743,4.316,30.656,53.39,70.686,4
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.664,4.725,32.966,56.274,73.19,4
PPS,PHİLLİP PORTFÖY BİRİNCİ SERBEST FON,5.112,3.448,30.388,58.51,76.641,4
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,4.595,1.312,27.828,43.465,65.034,4
FPG,FİBA PORTFÖY GÜMÜŞ SERBEST FON,6.407,5.501,31.51,50.702,,3
BLT,BULLS PORTFÖY ALTIN FONU,5.874,1.693,35.272,41.929,,3
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,4.14,-0.113,33.384,39.883,67.47,3
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,3.622,1.027,27.891,46.118,66.409,3
