Fund,Full Fund Name,2 Weeks,4 Weeks,15 Weeks,26 Weeks,37 Weeks,52 Weeks,Appearances
DFI,ATLAS PORTFÖY SERBEST FON,24.227,72.884,504.01,519.537,575.07,643.827,6
TLY,TERA PORTFÖY BİRİNCİ SERBEST FON,5.626,12.108,220.104,555.988,919.425,9224.344,6
THV,ATA PORTFÖY BARBAROS HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),12.202,2.297,532.352,496.437,445.598,493.511,5
FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,6.667,5.347,35.763,66.017,77.91,95.09,5
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,6.245,4.549,36.146,64.313,77.02,94.172,5
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,6.206,4.747,37.173,67.829,79.472,97.935,5
KGM,KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU,5.93,4.5,35.188,62.519,75.778,94.058,5
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,5.92,4.414,35.982,63.577,76.106,92.871,5
YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.918,4.38,36.672,65.187,76.193,95.473,5
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.743,4.198,34.096,62.935,77.71,96.014,5
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.743,4.316,34.095,61.24,75.005,93.209,5
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.664,4.725,36.266,63.908,77.712,94.603,5
PPS,PHİLLİP PORTFÖY BİRİNCİ SERBEST FON,5.112,3.448,39.005,64.273,78.973,96.668,5
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,4.595,1.312,30.825,47.438,67.783,86.681,5
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,4.14,-0.113,33.857,41.609,69.73,102.066,5
PAF,PARDUS PORTFÖY ALTIN FONU,4.776,0.679,30.827,37.528,64.467,82.913,4
UP1,ÜNLÜ PORTFÖY ALTIN FONU,4.392,-0.926,32.082,40.922,65.522,79.765,4
RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,3.63,-1.989,31.06,39.689,67.214,87.769,4
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,3.622,1.027,29.875,50.51,70.715,87.058,4
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,3.539,-2.455,30.338,38.481,67.811,90.476,4
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,3.306,-2.481,30.849,38.326,68.945,89.012,4
