Fund,Full Fund Name,2 Weeks,4 Weeks,15 Weeks,26 Weeks,37 Weeks,52 Weeks,72 Weeks,Appearances
DFI,ATLAS PORTFÖY SERBEST FON,24.227,72.884,504.01,519.537,575.07,643.827,610.914,7
TLY,TERA PORTFÖY BİRİNCİ SERBEST FON,5.626,12.108,220.104,555.988,919.425,9224.344,16618.13,7
THV,ATA PORTFÖY BARBAROS HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),12.202,2.297,532.352,496.437,445.598,493.511,383.885,6
FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,6.667,5.347,35.763,66.017,77.91,95.09,114.581,6
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,6.206,4.747,37.173,67.829,79.472,97.935,122.633,6
YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.918,4.38,36.672,65.187,76.193,95.473,112.027,6
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.743,4.198,34.096,62.935,77.71,96.014,111.854,6
GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.743,4.316,34.095,61.24,75.005,93.209,111.459,6
DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,5.664,4.725,36.266,63.908,77.712,94.603,112.77,6
PPS,PHİLLİP PORTFÖY BİRİNCİ SERBEST FON,5.112,3.448,39.005,64.273,78.973,96.668,124.678,6
PAF,PARDUS PORTFÖY ALTIN FONU,4.776,0.679,30.827,37.528,64.467,82.913,141.66,6
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,4.595,1.312,30.825,47.438,67.783,86.681,117.131,6
UP1,ÜNLÜ PORTFÖY ALTIN FONU,4.392,-0.926,32.082,40.922,65.522,79.765,128.645,6
HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,4.14,-0.113,33.857,41.609,69.73,102.066,160.968,6
RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,3.63,-1.989,31.06,39.689,67.214,87.769,132.851,6
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,3.622,1.027,29.875,50.51,70.715,87.058,111.224,6
KZU,KUVEYT TÜRK PORTFÖY İKİNCİ ALTIN KATILIM FONU,3.587,-2.062,29.28,36.987,63.254,81.102,114.128,6
GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,6.245,4.549,36.146,64.313,77.02,94.172,108.324,5
KGM,KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU,5.93,4.5,35.188,62.519,75.778,94.058,,5
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,5.92,4.414,35.982,63.577,76.106,92.871,107.2,5
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,3.938,-3.901,26.976,33.153,60.652,81.127,136.859,5
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,3.539,-2.455,30.338,38.481,67.811,90.476,135.04,5
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,3.379,-1.874,28.561,36.942,64.207,86.596,137.508,5
NAU,NEO PORTFÖY ALTIN FONU,3.328,-2.264,29.233,37.805,62.529,91.476,164.149,5
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,3.306,-2.481,30.849,38.326,68.945,89.012,141.074,5
