Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks
TLH,AURA ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),1.151,5.559,9.202,15.979,18.578,11.384,9.540,5.580,2.014,1.820,5.499,2.809,6.173,4.464,3.501,-3.536,-7.945,-3.452,None,3.340,2.905,8.312,13.267,15.616,21.893,25.304
AOY,AK PORTFÖY ALTERNATIVE ENERGY FOREIGN SHARE FUND,2.551,7.487,-2.899,-3.828,-9.865,-4.739,-0.495,5.236,6.915,8.065,6.915,14.205,16.860,15.517,11.050,6.915,14.857,7.487,2.551,-0.985,1.515,-4.739,-6.075,-6.075,-12.609,-14.468
AFO,AK ASSET MANAGEMENT GOLD FUND,3.349,0.699,0.699,0.935,2.370,3.846,5.882,5.882,6.404,9.367,10.486,12.208,11.340,9.645,12.208,17.391,22.727,20.670,19.337,21.008,20.334,18.681,16.757,18.681,19.008,18.356
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,0.349,0.865,1.342,2.252,3.843,5.014,5.504,6.033,6.305,6.550,7.096,7.829,8.554,9.435,10.048,11.123,11.939,12.631,14.268,14.776,15.313,16.015,14.260,14.460,14.837,15.127
AFA,AK ASSET MANAGEMENT AMERICA FOREIGN EQUITY FUND,-0.197,3.049,2.632,5.625,4.752,6.962,7.643,11.921,12.168,12.417,14.447,18.182,21.875,26.119,21.875,21.002,25.185,25.495,24.570,21.002,22.760,21.002,21.583,22.760,19.575,20.142
AFV,AK ASSET MANAGEMENT EUROPE FOREIGN EQUITY FUND,1.481,3.396,1.859,3.008,2.622,5.792,5.792,9.600,10.040,10.484,12.757,16.102,17.597,21.239,19.651,16.596,22.870,21.778,20.175,19.651,21.239,19.130,18.103,18.615,15.126,18.615
ADP,AK ASSET MANAGEMENT BIST BANK INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),2.183,0.429,-1.543,10.900,13.592,4.776,4.776,10.726,16.418,21.453,26.259,26.715,24.911,21.244,19.388,11.962,9.859,15.271,20.619,27.174,16.418,29.282,29.044,31.707,33.969,49.362
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,3.320,5.205,7.014,13.652,16.488,12.157,12.221,11.519,11.234,10.951,13.586,11.997,15.425,15.222,13.095,7.898,4.812,8.796,11.678,10.606,8.495,14.049,18.674,15.869,20.795,26.770
AKU,AK ASSET MANAGEMENT BIST 30 INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),4.969,6.513,7.188,12.667,14.447,8.798,8.565,6.962,7.872,9.503,11.674,12.168,14.706,15.227,13.677,6.962,4.107,6.962,9.978,7.872,4.969,10.217,14.966,10.458,13.933,17.907
ARL,AK ASSET MANAGEMENT FIRST FUND OF FUNDS,1.261,1.895,2.488,4.686,5.716,5.892,6.604,7.818,8.500,10.311,11.710,12.482,13.896,14.928,15.262,14.907,16.532,16.940,17.634,17.678,17.699,18.138,17.984,18.314,18.094,19.518
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,0.788,1.589,2.402,3.185,3.979,4.741,5.469,6.206,7.001,7.713,8.434,9.263,10.005,10.757,11.468,12.188,12.866,13.392,13.924,14.461,15.057,15.659,16.212,16.771,17.165,17.619
ALC,AK ASSET MANAGEMENT BIST DIVIDEND 25 INDEX EQUITY (TL) FUND (EQUITY-INTENSIVE FUND),5.882,8.000,10.959,16.547,16.547,14.894,16.547,14.894,14.894,16.547,17.391,15.714,20.896,20.000,18.248,11.724,10.204,15.714,16.547,12.500,10.959,16.547,20.896,18.248,20.896,23.664
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.663,8.526,11.457,14.454,17.617,15.522,13.975,7.583,4.931,2.252,1.870,-1.661,0.221,-2.296,-4.955,-10.336,-12.748,-10.277,-7.157,-5.548,-9.381,-5.679,4.208,3.104,8.526,10.552
