Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,5.848,4.624,-1.093,4.624,-5.729,-7.179,-11.707,-9.045,-14.218,-11.707,-13.81,-19.556,-22.318,-26.122,-28.458,-25.514,-19.196,-20.264,-15.421,-15.421,-10.396,1.117,8.383,7.738,9.036,10.366,NaN,6.471,4.624,7.101,2.841,9.697,11.043,4.624,0.556,4.624,0.556,0.0,-4.233,-3.209,-1.63,-4.737,4.023,4.023,3.429,0.0,0.0,-3.723,-3.723,-3.209,-1.093,11.043,9.697,19.868,20.667,14.557,12.422,10.366,-0.549
AFO,AK PORTFÖY ALTIN FONU,-0.256,-0.256,5.995,10.826,8.964,7.163,8.056,8.056,7.163,8.056,7.163,7.459,6.575,5.707,4.852,10.198,11.782,11.782,15.43,19.692,20.807,33.677,37.943,37.456,35.069,33.219,NaN,40.942,38.434,41.971,44.61,45.149,50.193,58.13,57.49,60.082,60.082,56.225,53.15,51.953,51.362,53.755,58.776,58.776,62.083,63.445,62.762,62.083,66.239,66.239,67.672,77.626,75.225,79.263,76.018,70.614,75.225,78.44,79.263
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,0.874,1.507,2.414,3.154,3.909,5.027,5.791,6.375,6.97,8.163,5.629,5.906,6.193,6.353,6.619,9.761,10.293,11.299,13.902,21.765,22.932,38.298,44.605,46.121,47.669,48.444,NaN,49.361,49.79,50.692,51.432,52.447,53.033,53.483,54.242,54.384,54.676,54.993,55.248,55.447,55.639,55.904,56.089,56.565,56.955,57.314,57.429,57.577,57.683,57.856,58.609,57.972,58.079,58.311,58.493,58.551,58.951,60.282,61.419
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,5.75,2.92,1.196,4.703,3.171,4.187,0.955,1.928,0.714,5.486,3.931,1.196,-0.471,-1.628,-0.704,2.174,6.015,6.015,11.024,16.851,21.203,36.893,45.862,49.47,54.38,54.945,NaN,55.515,54.38,56.667,56.089,62.692,65.234,69.2,61.45,65.234,60.837,60.837,57.836,62.069,67.857,67.857,74.793,77.731,78.481,76.987,72.653,66.535,68.526,70.565,68.526,80.769,73.361,80.0,89.686,84.716,88.839,85.526,76.987
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,3.097,2.643,0.431,3.556,1.747,2.193,0.866,3.097,1.304,4.484,2.643,-1.271,0.431,-2.51,-2.51,0.0,6.881,3.097,7.373,11.483,16.5,30.168,35.465,34.682,36.257,35.465,NaN,36.257,36.257,40.361,42.945,50.323,55.333,51.299,48.408,51.299,47.468,48.408,46.541,47.468,48.408,48.408,55.333,60.69,60.69,60.69,57.432,57.432,59.589,62.937,67.626,79.231,77.863,89.431,92.562,90.984,94.167,95.798,86.4
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-2.916,0.355,-6.601,-10.159,-9.729,-3.741,2.909,-6.291,2.536,4.621,10.98,7.197,16.701,20.94,34.442,30.415,44.757,46.253,48.556,52.151,53.804,63.584,93.174,90.572,51.337,89.298,NaN,67.953,67.953,75.232,73.62,70.997,67.953,60.34,88.04,102.143,98.596,120.233,99.296,95.172,74.691,96.528,73.62,63.584,61.254,65.982,86.799,87.417,88.667,97.902,113.585,118.533,120.233,108.856,136.82,145.022,169.524,165.728,134.855
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,-0.058,1.362,-4.01,-8.647,-5.936,-2.976,-1.666,-5.416,-1.948,1.392,3.727,2.824,8.46,12.747,19.393,23.753,24.382,25.201,26.124,27.629,28.395,30.699,32.213,32.932,33.139,33.92,NaN,35.136,35.564,36.32,36.975,37.525,38.247,38.92,39.6,40.344,40.922,41.505,41.739,42.328,42.804,43.522,44.005,44.797,45.412,46.032,46.533,47.036,47.734,48.503,49.02,49.869,50.462,51.126,51.931,51.998,53.498,53.912,53.912
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.679,3.009,-4.711,-8.247,-7.867,-3.68,-2.838,-7.676,-4.915,-1.766,0.225,-3.05,0.907,4.215,10.973,13.52,17.414,25.0,28.242,30.499,27.143,40.823,56.69,59.498,48.333,62.409,NaN,45.902,43.548,48.829,52.397,46.865,45.425,38.199,43.548,47.841,45.425,63.603,47.841,42.173,35.671,49.832,39.062,37.346,39.937,47.351,52.921,54.514,56.14,69.202,71.815,80.894,94.323,90.987,106.019,107.944,132.984,125.888,119.212
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,1.192,2.039,1.706,2.901,2.731,3.394,3.97,3.777,4.202,5.655,5.041,4.532,5.159,5.298,6.701,9.217,11.698,12.595,15.045,19.179,20.823,32.007,39.255,41.077,37.647,40.935,NaN,40.336,39.88,41.648,42.548,42.73,43.718,44.72,45.698,47.306,47.578,48.832,46.268,45.888,45.132,47.306,46.421,46.268,46.997,47.772,48.595,48.634,50.834,52.85,54.877,57.665,58.782,60.464,61.714,61.434,63.602,63.841,63.554
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,0.636,1.327,1.98,2.594,3.215,3.65,4.137,4.679,5.176,5.728,6.235,6.644,7.005,7.472,7.943,8.419,8.952,9.708,10.419,11.195,11.925,12.608,13.299,14.058,14.648,15.185,NaN,16.334,16.887,17.382,17.945,18.513,19.022,19.536,20.054,20.511,20.972,21.503,21.971,22.443,22.987,23.467,23.951,24.438,24.929,25.425,25.852,26.355,26.789,27.299,27.739,28.183,28.704,29.155,29.684,30.141,30.678,31.143,31.61
