Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,-3.433,-8.163,-11.067,-7.407,0.446,-0.881,5.14,5.14,11.386,25.698,34.731,33.929,35.542,37.195,NaN,32.353,30.058,33.136,27.841,36.364,38.037,30.058,25.0,30.058,25.0,24.309,19.048,20.321,22.283,18.421,29.31,29.31,28.571,24.309,24.309,19.681,19.681,20.321,22.951,38.037,36.364,49.007,50.0,42.405,39.752,37.195,23.626
AFO,AK PORTFÖY ALTIN FONU,-0.822,-1.63,-2.426,2.55,4.023,4.023,7.418,11.385,12.422,24.399,28.369,27.915,25.694,23.973,NaN,31.159,28.826,32.117,34.572,35.075,39.768,47.154,46.559,48.971,48.971,45.382,42.52,41.406,40.856,43.083,47.755,47.755,50.833,52.101,51.464,50.833,54.701,54.701,56.034,65.297,63.063,66.82,63.801,58.772,63.063,66.055,66.82
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,0.27,0.422,0.673,3.639,4.142,5.092,7.55,14.974,16.077,30.586,36.541,37.972,39.434,40.166,NaN,41.031,41.436,42.289,42.987,43.945,44.498,44.924,45.64,45.774,46.05,46.349,46.59,46.778,46.959,47.209,47.384,47.834,48.202,48.541,48.649,48.789,48.89,49.053,49.764,49.162,49.263,49.482,49.654,49.709,50.087,51.343,52.417
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,-1.647,-2.791,-1.878,0.966,4.762,4.762,9.711,15.47,19.771,35.275,44.138,47.703,52.555,53.114,NaN,53.676,52.555,54.815,54.244,60.769,63.281,67.2,59.542,63.281,58.935,58.935,55.97,60.153,65.873,65.873,72.727,75.63,76.371,74.895,70.612,64.567,66.534,68.548,66.534,78.632,71.311,77.872,87.444,82.533,86.607,83.333,74.895
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,1.724,-1.255,-1.255,1.288,8.257,4.425,8.756,12.919,18.0,31.844,37.209,36.416,38.012,37.209,NaN,38.012,38.012,42.169,44.785,52.258,57.333,53.247,50.318,53.247,49.367,50.318,48.428,49.367,50.318,50.318,57.333,62.759,62.759,62.759,59.459,59.459,61.644,65.035,69.784,81.538,80.153,91.87,95.041,93.443,96.667,98.319,88.8
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),8.866,12.821,25.416,21.659,35.038,36.434,38.583,41.935,43.478,52.601,80.205,77.778,41.176,76.589,NaN,56.677,56.677,63.467,61.963,59.517,56.677,49.575,75.415,88.571,85.263,105.447,85.915,82.069,62.963,83.333,61.963,52.601,50.427,54.839,74.257,74.834,76.0,84.615,99.245,103.861,105.447,94.834,120.921,128.571,151.429,147.887,119.087
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,5.482,9.651,16.114,20.354,20.967,21.763,22.66,24.124,24.869,27.11,28.582,29.282,29.483,30.243,NaN,31.425,31.842,32.577,33.213,33.748,34.451,35.106,35.767,36.49,37.052,37.619,37.847,38.42,38.882,39.581,40.05,40.821,41.419,42.022,42.509,42.998,43.677,44.425,44.928,45.753,46.33,46.976,47.759,47.824,49.283,49.685,49.685
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.082,7.494,14.464,17.092,21.108,28.933,32.277,34.604,31.143,45.253,61.62,64.516,53.0,67.518,NaN,50.492,48.065,53.512,57.192,51.485,50.0,42.547,48.065,52.492,50.0,68.75,52.492,46.645,39.939,54.545,43.437,41.667,44.34,51.987,57.732,59.375,61.053,74.525,77.22,86.585,100.437,96.996,112.5,114.486,140.314,132.995,126.108
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,0.6,0.733,2.075,4.482,6.855,7.714,10.057,14.012,15.585,26.284,33.217,34.961,31.68,34.825,NaN,34.251,33.816,35.507,36.368,36.542,37.487,38.446,39.381,40.92,41.18,42.379,39.927,39.563,38.84,40.92,40.073,39.927,40.624,41.366,42.153,42.19,44.295,46.223,48.162,50.83,51.898,53.507,54.703,54.435,56.509,56.738,56.463
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,0.338,0.776,1.218,1.664,2.164,2.873,3.539,4.267,4.952,5.592,6.24,6.952,7.505,8.008,NaN,9.086,9.604,10.069,10.596,11.129,11.607,12.089,12.575,13.003,13.435,13.933,14.372,14.815,15.325,15.775,16.228,16.685,17.146,17.61,18.011,18.483,18.89,19.368,19.781,20.197,20.686,21.108,21.604,22.033,22.537,22.972,23.411
