Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,0.0,0.535,2.732,15.337,13.939,24.503,25.333,18.987,16.77,14.634,3.297
AFO,AK PORTFÖY ALTIN FONU,2.564,2.564,3.448,9.589,8.108,10.599,8.597,5.263,8.108,10.092,10.599
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,0.068,0.177,0.655,0.251,0.319,0.466,0.582,0.618,0.872,1.717,2.439
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,1.195,2.419,1.195,8.547,4.098,8.085,13.901,10.917,13.393,11.404,6.276
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,1.37,3.497,6.475,13.846,12.977,20.325,22.314,21.311,23.333,24.37,18.4
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.667,5.594,13.962,16.602,17.51,11.439,26.36,30.736,43.81,41.784,25.311
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,0.475,0.998,1.35,1.926,2.33,2.781,3.329,3.375,4.395,4.676,4.676
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.053,9.506,11.197,17.073,25.764,23.605,33.333,34.579,50.785,46.193,41.872
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,1.48,2.836,4.2,6.076,6.827,7.959,8.8,8.612,10.07,10.231,10.038
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,0.343,0.747,1.096,1.447,1.859,2.216,2.635,2.996,3.422,3.789,4.159
ALC,AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.0,8.642,10.0,15.789,25.714,22.222,31.343,31.343,41.935,35.385,33.333
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VAY,AK PORTFÖY DEĞER ODAKLI 100 ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
