Fund,Full Fund Name,2022-12-05,2022-11-28,2022-11-21,2022-11-14,2022-11-07,2022-10-31,2022-10-24,2022-10-17,2022-10-10,2022-10-03,2022-09-26,2022-09-19
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,0.188,0.188,0.187,0.183,0.163,0.165,0.151,0.150,0.158,0.161,0.164,0.182
AFO,AK PORTFÖY ALTIN FONU,0.240,0.234,0.234,0.232,0.219,0.222,0.217,0.221,0.228,0.222,0.218,0.217
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,19.197,19.184,19.163,19.072,19.149,19.136,19.108,19.086,19.079,19.031,18.873,18.740
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,0.254,0.251,0.248,0.251,0.234,0.244,0.235,0.223,0.229,0.224,0.228,0.239
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,0.148,0.146,0.143,0.139,0.130,0.131,0.123,0.121,0.122,0.120,0.119,0.125
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.302,0.300,0.286,0.265,0.259,0.257,0.271,0.239,0.231,0.210,0.213,0.241
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,2.328,2.317,2.305,2.297,2.284,2.275,2.265,2.253,2.252,2.230,2.224,2.224
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.288,0.285,0.263,0.259,0.246,0.229,0.233,0.216,0.214,0.191,0.197,0.203
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,3.771,3.716,3.667,3.619,3.555,3.530,3.493,3.466,3.472,3.426,3.421,3.427
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,1.753,1.747,1.740,1.734,1.728,1.721,1.715,1.708,1.702,1.695,1.689,1.683
ALC,AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.088,0.088,0.081,0.080,0.076,0.070,0.072,0.067,0.067,0.062,0.065,0.066
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VAY,AK PORTFÖY DEĞER ODAKLI 100 ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ADE,AK PORTFÖY DEĞİŞKEN FON,0.252,0.251,0.250,0.249,0.248,0.247,0.247,0.246,0.245,0.244,0.243,0.242
DTZ,AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,1.307,1.268,1.231,1.249,1.112,1.121,1.081,1.033,1.083,1.041,1.057,1.100
VCY,AK PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,1.209,1.150,1.135,1.151,1.072,1.055,1.029,0.989,1.042,1.027,1.061,1.139
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,0.157,0.155,0.152,0.153,0.150,0.149,0.145,0.145,0.145,0.145,0.144,0.143
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,1.081,1.045,1.023,1.079,1.087,1.151,1.091,1.039,1.076,1.051,1.048,1.110
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,2.029,1.888,1.861,1.898,1.825,1.718,1.689,1.642,1.794,1.695,1.670,1.703
