Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,1.205,2.439,NaN,-1.176,-2.89,-0.592,-4.545,1.818,3.067,-2.89,-6.667,-2.89,-6.667,-7.182,-11.111,-10.16,-8.696,-11.579,-3.448,-3.448,-4.0,-7.182,-7.182,-10.638,-10.638,-10.16,-8.197,3.067,1.818,11.258,12.0,6.329,4.348,2.439,-7.692
AFO,AK PORTFÖY ALTIN FONU,-1.736,-3.082,NaN,2.536,0.712,3.285,5.204,5.597,9.266,15.041,14.575,16.461,16.461,13.655,11.417,10.547,10.117,11.858,15.51,15.51,17.917,18.908,18.41,17.917,20.94,20.94,21.983,29.224,27.477,30.415,28.054,24.123,27.477,29.817,30.415
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,1.059,1.59,NaN,2.217,2.511,3.128,3.634,4.329,4.73,5.038,5.558,5.655,5.855,6.072,6.246,6.382,6.514,6.695,6.821,7.148,7.415,7.66,7.739,7.84,7.913,8.031,8.547,8.11,8.184,8.342,8.467,8.507,8.78,9.691,10.47
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,3.285,3.663,NaN,4.044,3.285,4.815,4.428,8.846,10.547,13.2,8.015,10.547,7.605,7.605,5.597,8.429,12.302,12.302,16.942,18.908,19.409,18.41,15.51,11.417,12.749,14.113,12.749,20.94,15.984,20.426,26.906,23.581,26.339,24.123,18.41
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,1.17,0.581,NaN,1.17,1.17,4.217,6.135,11.613,15.333,12.338,10.191,12.338,9.494,10.191,8.805,9.494,10.191,10.191,15.333,19.31,19.31,19.31,16.892,16.892,18.493,20.979,24.46,33.077,32.061,40.65,42.975,41.803,44.167,45.378,38.4
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-20.588,-0.669,NaN,-11.869,-11.869,-8.05,-8.896,-10.272,-11.869,-15.864,-1.329,6.071,4.211,15.564,4.577,2.414,-8.333,3.125,-8.896,-14.162,-15.385,-12.903,-1.98,-1.656,-1.0,3.846,12.075,14.672,15.564,9.594,24.268,28.571,41.429,39.437,23.237
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,0.156,0.743,NaN,1.658,1.98,2.549,3.041,3.455,3.998,4.505,5.016,5.576,6.011,6.449,6.625,7.069,7.426,7.966,8.33,8.926,9.388,9.855,10.231,10.61,11.135,11.714,12.103,12.741,13.187,13.687,14.292,14.343,15.471,15.782,15.782
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-7.0,1.825,NaN,-8.525,-10.0,-6.689,-4.452,-7.921,-8.824,-13.354,-10.0,-7.309,-8.824,2.574,-7.309,-10.863,-14.939,-6.061,-12.812,-13.889,-12.264,-7.616,-4.124,-3.125,-2.105,6.084,7.722,13.415,21.834,19.742,29.167,30.374,46.073,41.624,37.438
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,-2.431,-0.101,NaN,-0.526,-0.849,0.404,1.043,1.171,1.872,2.582,3.275,4.415,4.608,5.497,3.68,3.41,2.874,4.415,3.788,3.68,4.196,4.746,5.329,5.357,6.916,8.345,9.782,11.758,12.55,13.742,14.628,14.43,15.966,16.136,15.932
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,0.518,0.988,NaN,1.996,2.48,2.915,3.408,3.906,4.352,4.803,5.257,5.658,6.062,6.528,6.938,7.352,7.829,8.25,8.674,9.101,9.532,9.966,10.341,10.782,11.162,11.609,11.995,12.384,12.841,13.236,13.7,14.101,14.572,14.979,15.389
