Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,-3.889,-4.42,-8.466,-7.487,-5.978,-8.947,-0.575,-0.575,-1.143,-4.42,-4.42,-7.979,-7.979,-7.487,-5.464,6.135,4.848,14.57,15.333,9.494,7.453,5.488,-4.945
AFO,AK PORTFÖY ALTIN FONU,0.0,-2.41,-4.331,-5.078,-5.447,-3.953,-0.816,-0.816,1.25,2.101,1.674,1.25,3.846,3.846,4.741,10.959,9.459,11.982,9.955,6.579,9.459,11.468,11.982
PAL,AK PORTFÖY ALTINCI SERBEST(DÖVİZ) FON,0.189,0.395,0.559,0.689,0.813,0.984,1.104,1.413,1.666,1.898,1.972,2.068,2.137,2.249,2.737,2.324,2.393,2.543,2.662,2.699,2.958,3.82,4.557
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,-2.662,-2.662,-4.478,-1.916,1.587,1.587,5.785,7.563,8.017,7.113,4.49,0.787,1.992,3.226,1.992,9.402,4.918,8.936,14.798,11.79,14.286,12.281,7.113
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,-2.532,-1.911,-3.145,-2.532,-1.911,-1.911,2.667,6.207,6.207,6.207,4.054,4.054,5.479,7.692,10.791,18.462,17.557,25.203,27.273,26.23,28.333,29.412,23.2
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-1.754,8.949,-1.408,-3.448,-13.58,-2.778,-14.11,-19.075,-20.228,-17.889,-7.591,-7.285,-6.667,-2.098,5.66,8.108,8.949,3.321,17.155,21.212,33.333,31.455,16.183
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,0.412,0.827,0.994,1.414,1.752,2.264,2.608,3.173,3.611,4.053,4.409,4.768,5.265,5.813,6.182,6.786,7.209,7.682,8.256,8.304,9.372,9.667,9.667
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-1.634,10.662,0.0,-3.834,-8.232,1.347,-5.938,-7.099,-5.346,-0.331,3.436,4.514,5.614,14.449,16.216,22.358,31.441,29.185,39.352,40.654,57.592,52.792,48.276
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,0.184,1.036,-0.705,-0.963,-1.476,0.0,-0.601,-0.705,-0.21,0.316,0.875,0.902,2.395,3.763,5.14,7.032,7.79,8.932,9.781,9.591,11.062,11.225,11.03
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,0.382,0.823,1.211,1.603,2.054,2.453,2.854,3.258,3.666,4.077,4.432,4.849,5.209,5.632,5.998,6.366,6.798,7.172,7.611,7.991,8.437,8.822,9.21
ALC,AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.0,9.524,1.099,0.0,-4.167,3.371,-5.155,-6.122,-3.158,1.099,5.747,4.545,4.545,13.58,15.0,21.053,31.429,27.778,37.313,37.313,48.387,41.538,39.394
BUY,AK PORTFÖY BÜYÜYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VAY,AK PORTFÖY DEĞER ODAKLI 100 ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ADE,AK PORTFÖY DEĞİŞKEN FON,0.377,1.141,1.527,1.916,2.308,2.703,3.101,3.906,4.314,4.724,5.138,5.556,5.976,6.4,6.827,7.258,7.692,7.692,8.13,8.571,9.016,9.465,9.917
DTZ,AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,-1.191,0.302,-4.875,-2.784,-0.97,1.608,4.406,5.151,7.276,4.571,3.834,1.53,4.653,7.799,6.245,19.335,18.376,22.757,28.461,22.53,27.474,25.544,20.636
VCY,AK PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇ TEKNOLOJİLERİ DEĞİŞKEN FON,-2.22,0.407,-4.344,-2.837,3.266,5.026,10.385,10.782,11.282,7.874,5.837,1.985,7.217,8.634,7.124,15.019,16.872,19.825,24.671,18.33,20.058,16.211,8.253
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,0.645,0.0,-1.887,-0.637,0.0,-0.637,-0.637,-0.637,-0.637,0.0,-0.637,-0.637,0.645,2.632,1.961,4.0,4.698,7.586,7.586,7.586,7.586,8.333,9.091
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,-3.285,0.0,-7.746,-6.608,-4.332,-0.282,7.614,9.845,10.302,8.941,3.922,-1.943,1.435,3.617,-1.761,-2.484,-7.906,-2.841,2.021,-1.487,0.856,1.145,-4.505
GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,-2.972,-4.613,-7.597,-10.615,-12.093,-12.915,-11.507,-12.093,-11.169,-9.175,-9.748,-8.28,-1.43,0.0,-1.949,1.973,8.324,10.184,13.337,3.735,9.794,11.437,9.278
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.48,10.251,1.107,-1.249,-6.913,1.959,-6.384,-8.607,-5.734,-1.239,4.985,5.715,5.826,14.083,16.857,20.733,28.502,25.798,35.286,37.171,52.892,48.837,44.991
FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.366,17.043,11.172,8.452,1.33,10.117,-0.49,-3.062,0.247,3.966,6.883,6.556,10.869,27.311,31.146,33.37,40.438,47.045,54.011,53.333,66.644,61.243,59.555
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,0.305,0.169,-0.269,0.0,-0.034,0.101,0.509,0.817,0.851,0.886,0.954,1.058,1.369,1.438,1.962,1.857,1.404,1.857,1.543,1.265,1.161,2.032,2.705
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,0.201,1.748,-1.125,-1.819,-2.946,-0.643,-1.969,-2.438,-1.819,-1.038,-0.511,-0.643,1.357,3.225,4.161,6.614,7.639,8.921,10.207,9.882,12.109,12.081,11.606
AIS,AK PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,0.0,0.0,0.0,0.0,0.0,0.0,3.448,3.448,3.448,3.448,3.448,3.448,3.448,3.448,7.143,7.143,7.143,7.143,7.143,7.143,7.143,7.143,7.143
MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,-2.773,-2.932,-6.802,-5.246,-4.103,-1.488,-0.168,2.405,4.378,3.114,1.533,-0.997,2.055,4.378,3.025,11.82,11.61,14.615,17.787,17.207,22.006,19.081,13.74
ONK,AK PORTFÖY ONİKİNCİ SERBEST (DÖVİZ-AVRO) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,0.0,1.351,1.351,1.351,1.351,1.351,0.0,1.351,1.351,1.351,2.74,2.74,4.167,5.634,7.143,7.143,8.696,8.696,10.294,10.294,8.696,8.696,8.696
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,0.0,0.0,0.0,0.0,0.0,2.857,2.857,2.857,2.857,2.857,2.857,5.882,5.882,5.882,5.882,5.882,5.882,5.882,9.091,9.091,9.091,9.091,9.091
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,0.0,-4.082,4.444,-4.082,-6.0,-4.082,4.444,-4.082,-2.083,4.444,6.818,-4.082,0.0,-2.083,-9.615,-12.963,-7.843,-4.082,-4.082,-9.615,2.174,2.174,-2.083
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,-3.937,-3.937,-4.688,-4.688,-3.937,-4.688,-3.175,-2.4,-2.4,-2.4,-2.4,-3.937,0.826,2.521,2.521,6.087,5.172,14.019,16.19,15.094,17.308,16.19,9.91
TAR,AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,1.006,0.914,-2.731,-4.083,-5.882,-3.412,-4.25,-6.361,-6.441,-3.749,-5.802,-6.678,-5.802,0.822,0.455,3.178,4.053,7.707,NaN,NaN,NaN,NaN,NaN
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.603,9.097,-1.323,-6.489,-13.646,-5.614,-15.559,-21.761,-21.903,-21.546,-19.18,-17.785,-15.309,-5.091,1.419,4.957,13.276,15.566,22.325,30.816,40.574,38.642,37.751
TGR,AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,-0.217,3.61,-2.753,-1.502,-1.67,2.821,7.692,11.24,10.332,9.385,6.395,4.697,9.074,12.881,9.49,17.864,19.087,22.193,30.011,32.947,40.257,36.993,26.781
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,0.271,2.21,3.064,2.778,-0.538,1.648,-0.27,1.093,0.0,3.064,4.225,5.114,7.246,9.792,12.462,12.121,11.446,9.145,15.625,13.846,13.15,11.446,12.121
ODV,AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,0.099,2.406,-1.67,-2.876,-4.775,-1.517,-3.652,-4.614,-3.908,-3.136,-2.521,-2.82,-0.236,2.427,2.655,5.985,7.56,8.901,11.172,10.686,14.231,13.769,12.531
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,0.446,0.895,1.284,1.741,2.202,2.601,3.003,3.408,3.884,4.296,4.711,5.2,5.622,6.048,6.406,6.838,7.201,7.566,8.008,8.454,8.828,9.204,9.659
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,-4.046,-4.598,-7.263,-4.598,0.606,1.84,8.497,13.699,14.483,12.162,7.792,5.063,9.934,9.211,10.667,21.168,16.901,15.278,21.168,15.278,16.901,14.483,9.211
ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,0.375,0.816,1.197,1.517,1.904,2.293,2.685,3.081,3.546,3.881,4.286,4.625,5.036,5.381,5.797,6.147,6.358,6.782,7.21,7.569,7.93,8.294,8.66
MJL,AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON,-1.018,-1.586,-3.238,-2.907,-2.41,-2.925,0.86,-0.249,0.512,1.994,3.326,1.643,4.308,3.029,6.081,10.695,7.949,9.678,11.408,9.408,9.602,10.695,9.139
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,-0.035,-2.321,-4.217,-4.473,-4.79,-3.376,-0.174,-0.244,2.141,3.21,2.765,2.654,5.182,4.989,5.843,12.191,11.059,13.436,11.362,8.204,11.102,13.033,13.526
MMH,AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-0.864,11.981,1.035,-2.548,-7.386,2.091,-3.572,-5.673,-4.773,0.131,4.295,5.108,6.129,14.041,15.972,22.08,32.058,29.304,40.293,41.68,59.119,55.139,51.203
MJB,AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU,0.0,0.584,-1.044,-4.484,-5.389,-5.484,-3.067,-1.25,-0.889,-0.263,-0.785,-3.067,-2.218,-0.629,-0.785,4.348,2.988,7.179,10.877,6.278,11.007,10.297,4.867
ONE,AKTİF PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,0.238,1.261,0.596,0.417,0.238,1.078,1.139,1.261,1.749,2.119,2.367,2.866,3.56,4.072,4.2,4.394,5.24,5.24,6.435,7.043,8.698,8.839,8.628
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,-2.832,-4.691,-7.044,-10.337,-11.67,-12.273,-10.803,-11.468,-10.7,-8.531,-9.39,-7.434,-1.468,0.0,-1.089,2.523,8.275,10.999,12.454,3.833,9.271,11.48,9.893
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MPN,AKTİF PORTFÖY İKİNCİ AKTİF SERBEST (DÖVİZ) FON,0.289,-0.444,-1.551,-0.823,-0.506,-0.578,-0.84,-0.879,-0.422,-0.673,-0.912,-0.495,0.317,1.688,1.362,2.501,3.513,5.909,6.585,6.688,6.752,8.3,8.572
EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BUL,AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MPS,AKTİF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.963,11.288,2.429,0.181,-3.134,5.221,-0.564,-2.769,-0.983,2.065,4.274,4.569,8.094,19.553,21.653,24.583,34.611,34.262,43.393,43.792,58.931,55.304,54.87
MPF,AKTİF PORTFÖY KISA VADELİ KİRA SERTİFİKASI KATILIM (TL) FONU,0.428,0.817,1.208,1.603,2.001,2.402,2.761,3.213,3.578,3.991,4.408,4.781,5.204,5.583,5.965,6.349,6.736,7.078,7.47,7.866,8.264,8.665,9.07
MPK,AKTİF PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,1.353,2.005,2.588,3.098,3.573,3.932,4.213,4.537,6.184,6.899,7.368,7.711,8.186,8.622,8.973,9.549,10.356,11.038,11.359,11.774,12.474,12.851,13.611
IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,0.471,0.879,1.359,1.774,2.192,2.684,3.039,3.467,3.9,4.336,4.775,5.144,5.591,5.966,6.419,6.8,7.184,7.648,8.038,8.509,8.905,9.304,9.706
GPT,AKTİF PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTS,AKTİF PORTFÖY TARIM VE SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CPU,AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,0.053,-2.207,-3.952,-4.56,-4.778,-3.509,-1.516,0.0,0.965,2.087,1.673,1.019,3.205,2.923,3.746,9.283,8.309,10.469,8.497,5.696,8.185,9.761,10.05
RBK,ALBARAKA PORTFÖY KATILIM FONU,0.037,-0.296,-0.918,-0.7,-0.918,-0.955,-0.626,-0.222,-0.59,-0.259,-0.185,0.223,0.973,1.889,3.294,3.891,4.373,5.723,5.806,5.558,2.821,2.939,3.175
RBH,ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),1.95,12.949,4.555,1.928,-3.228,3.966,-1.383,-3.536,-2.869,-0.318,2.594,4.288,6.11,16.948,20.93,26.149,35.288,37.401,48.478,52.101,67.503,65.268,65.704
PVK,ALBARAKA PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,0.458,0.919,1.385,1.788,2.058,2.33,2.878,3.432,3.571,3.922,4.274,4.629,5.058,5.346,5.708,6.0,6.367,6.736,7.108,7.483,7.86,8.239,8.469
RBV,ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,0.36,0.722,1.086,1.454,1.771,2.143,2.518,2.896,3.715,4.158,4.548,4.941,5.28,5.679,6.08,6.485,6.834,7.245,7.658,8.075,8.495,8.858,9.284
RBT,ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,0.321,0.643,0.968,1.294,1.568,1.899,2.176,2.455,2.904,4.275,4.508,4.858,5.21,5.862,6.222,6.523,6.887,7.131,7.499,7.931,8.304,8.681,9.059
LLA,ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HVU,ALLBATROSS PORTFÖY BİRİNCİ DEĞİŞKEN FON,0.857,2.616,1.124,0.394,4.58,11.76,9.208,8.357,9.208,11.76,14.094,14.435,16.883,25.822,27.076,31.783,37.466,37.838,41.144,42.724,50.147,48.256,49.56
BVM,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),6.202,13.099,6.147,3.163,1.431,9.019,0.44,-1.862,0.933,4.687,8.673,10.188,13.286,23.498,25.996,30.975,39.039,37.0,46.472,47.629,62.579,57.713,58.32
