Category,Fund,Full Fund Name
Non-filtered Funds,,
,FUA,AK PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON) -16 
,HVZ,ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON) 6 
,FPH,FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON) -9 
,GKV,GARANTİ PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON) -9 
,GLG,GLOBAL MD PORTFÖY CAPİTAL HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON) -6 
,NRC,NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON 14 
,TCD,TACİRLER PORTFÖY DEĞIŞKEN FON  -14 
Filtered Funds,,

2023-02-27
2023-05-22
