Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks
IRT,INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,5.199,6.982,10.501,12.5,12.153,13.244,15.557,16.492,18.347,23.465,27.259,32.134,36.457,32.785,28.361,31.564,35.109,37.103,36.528,37.695,38.601,40.989,42.867,41.727
AFT,AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,5.679,5.489,8.993,5.812,8.774,10.636,14.195,12.64,13.063,15.807,19.925,24.026,30.688,25.823,23.378,28.462,30.333,29.767,23.768,25.889,24.415,25.536,28.644,23.796
KIB,TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,4.442,5.238,9.346,7.52,8.954,10.438,13.031,11.797,15.393,18.14,21.766,25.667,31.111,25.81,22.719,26.97,28.819,29.157,23.503,24.234,24.471,26.754,26.96,23.069
ZMY,ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,6.371,8.695,12.529,13.447,13.776,14.345,16.38,14.47,15.802,18.038,24.281,29.699,36.006,32.84,27.44,28.846,32.63,37.797,36.301,35.878,37.031,43.205,44.258,45.387
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,4.308,5.474,9.76,7.066,9.437,9.195,14.312,13.893,16.563,20.672,25.291,31.731,37.859,31.433,28.523,31.106,35.346,40.76,38.164,37.219,36.964,46.404,47.411,50.395
MET,GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,4.403,5.852,8.994,8.158,9.222,10.216,13.962,13.65,14.632,16.712,19.694,24.75,29.593,25.572,23.454,28.114,30.609,30.9,26.466,27.464,29.128,31.402,32.767,30.044
RTG,ATA PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,4.077,3.931,8.783,5.225,6.875,8.015,13.173,13.014,14.186,16.87,21.88,26.736,31.896,27.256,23.85,26.269,28.057,28.841,25.266,25.26,23.473,27.329,28.853,24.94
TFF,TEB ASSET MANAGEMENT AMERICA TECHNOLOGY FOREIGN BYF FUND BASKET FUND,4.475,4.779,9.455,5.502,8.229,9.414,15.157,14.657,16.167,18.244,22.724,28.739,33.506,27.404,25.448,31.085,32.659,32.048,27.171,27.732,26.997,27.195,30.412,27.925
BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,6.397,6.179,9.053,7.858,8.555,9.351,13.12,11.86,14.802,14.515,18.765,23.202,28.73,24.171,20.719,24.304,26.067,27.895,24.617,24.481,24.221,26.988,28.565,25.395
HOA,HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,4.975,6.652,9.912,7.839,9.754,11.137,14.558,13.32,12.943,15.73,18.277,22.51,28.201,24.186,21.81,26.37,28.698,28.612,23.388,25.477,24.712,25.384,27.533,24.461
YZC,YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,3.131,4.15,6.976,5.887,9.062,11.407,14.943,15.902,19.616,23.107,26.014,31.384,35.513,32.486,29.185,31.129,33.223,32.766,28.7,29.345,30.436,33.287,32.73,30.137
MTX,TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,4.48,5.835,9.398,7.42,9.462,10.767,15.127,15.369,16.502,17.958,21.701,28.929,34.205,29.19,26.594,31.601,33.945,34.113,28.466,29.155,28.258,29.41,31.564,29.783
MTV,AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,4.409,5.368,8.729,8.422,8.943,9.426,11.899,11.412,12.341,14.277,16.286,23.293,28.5,25.136,22.79,28.064,31.094,32.178,28.179,28.024,28.867,30.107,31.644,29.247
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,3.571,1.039,5.025,3.387,6.298,10.276,14.948,19.39,27.053,30.392,37.582,44.618,50.599,48.626,45.343,45.82,47.567,48.033,44.179,43.46,41.575,50.598,49.998,46.786
GUH,GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,5.738,7.124,11.778,7.759,10.538,11.515,16.661,16.038,16.472,19.288,23.833,29.323,34.315,29.087,25.924,32.151,33.401,33.348,28.248,28.58,26.44,27.506,30.672,26.233
YAY,YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,4.899,4.936,9.466,5.976,8.439,9.735,14.904,13.572,15.044,17.6,22.834,28.418,33.203,27.806,25.05,31.741,34.632,34.21,28.009,29.945,28.526,29.613,33.208,28.732
OJT,QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,5.328,6.812,11.205,9.594,10.676,11.068,14.685,13.201,13.936,17.044,21.963,25.993,31.426,27.689,25.569,29.982,33.72,34.198,31.942,32.475,32.917,35.98,38.569,36.967
