Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks
ADP,AK ASSET MANAGEMENT BIST BANK INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),2.183,0.429,-1.543,10.9,13.592,4.776,4.776,10.726,16.418,21.453,26.259,26.715,24.911,21.244,19.388,11.962,9.859,15.271,20.619,27.174,16.418,29.282,29.044,31.707,33.969,49.362
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,1.481,5.113,2.535,6.566,4.934,7.871,11.933,16.643,21.169,28.96,32.35,39.615,46.758,52.85,50.795,47.46,47.99,49.787,50.244,46.323,45.546,43.681,52.85,52.19,48.973,43.43
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),7.431,14.425,18.589,23.104,33.333,22.961,20.925,16.855,13.081,14.178,24.845,31.471,34.306,39.941,36.689,28.715,22.499,34.221,47.442,52.101,47.134,49.313,66.575,63.363,78.961,72.195
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),6.157,8.133,8.773,16.526,18.592,15.008,16.649,16.097,16.158,17.082,20.733,20.865,24.619,29.215,27.499,19.946,15.128,19.362,23.572,22.271,18.912,27.572,34.902,41.474,48.92,55.972
LLA,ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),5.017,11.415,17.939,24.103,25.771,26.874,22.385,15.206,12.597,14.874,18.378,28.306,84.144,82.245,74.452,61.032,50.949,57.681,60.06,60.545,52.981,56.749,66.771,60.87,72.935,
IHA,ALLBATROSS PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.815,7.524,10.247,14.565,17.073,15.342,17.0,15.413,15.058,15.985,19.008,17.662,22.193,24.468,19.923,13.869,8.459,13.317,,13.661,9.666,18.182,28.131,33.524,45.004,45.116
GL1,AZİMUT ASSET MANAGEMENT FIRST EQUITY FUND (EQUITY-INTENSIVE FUND),5.736,6.651,7.811,14.969,16.935,13.172,14.045,13.709,15.842,17.33,19.994,19.553,22.02,23.153,19.747,13.513,10.363,14.676,,17.763,16.282,24.956,31.524,30.373,37.394,46.005
GSP,AZİMUT ASSET MANAGEMENT DIVIDEND-PAYING COMPANIES EQUITY FUND (EQUITY-INTENSIVE FUND),4.724,6.4,7.692,15.152,15.152,11.765,12.712,12.712,14.655,15.152,17.699,16.667,20.909,22.018,18.222,12.236,9.465,13.675,,17.699,16.157,23.148,29.756,28.502,35.025,42.246
BST,A1 PORTFÖY BANKACILIK SEKTÖRÜ DIŞI ŞİRKETLER HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),0.735,1.318,2.609,8.397,23.101,19.986,12.483,13.287,12.011,10.788,14.904,2.63,17.105,23.521,24.644,14.411,6.397,18.169,19.14,16.648,26.446,27.398,30.445,44.777,47.944,38.229
DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,0.551,4.899,6.053,10.372,7.666,10.057,9.813,14.944,14.526,17.196,21.336,26.008,32.455,38.649,32.152,29.247,31.851,36.093,41.534,38.927,37.987,37.713,47.241,48.248,51.221,50.499
