Full Fund Name,Fund,1 Weeks
ATLAS PORTFÖY İKİNCİ SERBEST (TL) FON,DFI,11.93
BV PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,BVV,7.21
FİBA PORTFÖY FON SEPETİ SERBEST FON,FSH,7.04
AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),ICZ,6.52
BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,BTE,6.40
ZİRAAT PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,ZMY,6.37
İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,IJC,6.37
ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),LLA,6.04
AKTİF PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BUL,6.04
A1 PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),BIH,5.89
İŞ ASSET MANAGEMENT BIST TECHNOLOGY CAPPED INDEX EQUITY FUND (EQUITY-INTENSIVE FUND),TTE,5.87
GARANTİ ASSET MANAGEMENT FOREIGN  TEKNOLOGY ETF FUND BASKET FUNDS,GUH,5.74
YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON),YHZ,5.72
AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,AFT,5.68
DENİZ PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),DHJ,5.36
ALLBATROSS PORTFÖY GIDA VE İÇECEK SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),GIH,5.33
QNB FİNANS PORTFÖY TEKNOLOJİ FON SEPETİ FONU,OJT,5.33
INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,IRT,5.20
ZİRAAT PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),ZJL,4.99
AK PORTFÖY DÖNÜŞTÜRÜCÜ TEKNOLOJİLER DEĞİŞKEN FON,DTZ,4.98
HSBC PORTFOLIO TECHNOLOGY VARIABLE FUND,HOA,4.98
YAPI KREDİ ASSET MANAGEMENT FOREIGN TECHNOLOGY SECTOR EQUITY Fund,YAY,4.90
AK ASSET MANAGEMENT OIL FOREIGN ETF FUND BASKET FUND,AES,4.89
AKTİF PORTFÖY TEKNOLOJİ KATILIM FONU,CPU,4.82
ALLBATROSS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),BVM,4.79
HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NNF,4.79
ROTA PORTFÖY ÇİP TEKNOLOJİLERİ DEĞİŞKEN FON,CPT,4.71
AK PORTFÖY ALTERNATIVE ENERGY FOREIGN SHARE FUND,AOY,4.67
KARE PORTFÖY SERBEST (DÖVİZ) FON,KRS,4.57
GARANTİ PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,GZY,4.55
TEB PORTFÖY METAVERSE VE DİJİTAL TEKNOLOJİLER DEĞİŞKEN FON,MTX,4.48
TEB ASSET MANAGEMENT AMERICA TECHNOLOGY FOREIGN BYF FUND BASKET FUND,TFF,4.48
TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,KIB,4.44
AK PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,MTV,4.41
GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,MET,4.40
HEDEF PORTFÖY MODEL HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),FNT,4.36
AURA ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),TLH,4.36
DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,DVT,4.31
AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,TGR,4.30
İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,IJZ,4.28
